token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
19438,AHLEAST-EQ,AHLEAST,,-1.000000,1,,NSE,1.000000
17833,AHLUCONT-EQ,AHLUCONT,,-1.000000,1,,NSE,5.000000
13086,AIAENG-EQ,AIAENG,,-1.000000,1,,NSE,5.000000
23553,AIIL-EQ,AIIL,,-1.000000,1,,NSE,5.000000
9897,AIRAN-EQ,AIRAN,,-1.000000,1,,NSE,1.000000
6068,AIROLAM-EQ,AIROLAM,,-1.000000,1,,NSE,1.000000
8124,AJANTPHARM-EQ,AJANTPHARM,,-1.000000,1,,NSE,5.000000
3403,AJOONI-EQ,AJOONI,,-1.000000,1,,NSE,1.000000
13510,AKASH-EQ,AKASH,,-1.000000,1,,NSE,1.000000
2176,AKG-EQ,AKG,,-1.000000,1,,NSE,1.000000
14890,AKI-EQ,AKI,,-1.000000,1,,NSE,1.000000
9558,AKSHAR-EQ,AKSHAR,,-1.000000,1,,NSE,1.000000
20178,AKSHARCHEM-EQ,AKSHARCHEM,,-1.000000,1,,NSE,5.000000
8591,AKSHOPTFBR-EQ,AKSHOPTFBR,,-1.000000,1,,NSE,1.000000
1467,AKZOINDIA-EQ,AKZOINDIA,,-1.000000,1,,NSE,5.000000
9921,ALANKIT-EQ,ALANKIT,,-1.000000,1,,NSE,1.000000
17256,ALBERTDAVD-EQ,ALBERTDAVD,,-1.000000,1,,NSE,5.000000
79,ALEMBICLTD-EQ,ALEMBICLTD,,-1.000000,1,,NSE,1.000000
13656,ALICON-EQ,ALICON,,-1.000000,1,,NSE,5.000000
16959,ALKALI-EQ,ALKALI,,-1.000000,1,,NSE,1.000000
11703,ALKEM-EQ,ALKEM,,-1.000000,1,,NSE,5.000000
4487,ALKYLAMINE-EQ,ALKYLAMINE,,-1.000000,1,,NSE,5.000000
13501,ALLCARGO-EQ,ALLCARGO,,-1.000000,1,,NSE,1.000000
11798,ALLSEC-EQ,ALLSEC,,-1.000000,1,,NSE,5.000000
16719,ALMONDZ-EQ,ALMONDZ,,-1.000000,1,,NSE,1.000000
17675,ALOKINDS-EQ,ALOKINDS,,-1.000000,1,,NSE,1.000000
14848,ALPA-EQ,ALPA,,-1.000000,1,,NSE,1.000000
7412,ALPHA-EQ,ALPHA,,-1.000000,1,,NSE,1.000000
19640,ALPHAETF-EQ,ALPHAETF,,-1.000000,1,,NSE,1.000000
22344,ALPL30IETF-EQ,ALPL30IETF,,-1.000000,1,,NSE,1.000000
1185,AMBER-EQ,AMBER,,-1.000000,1,,NSE,5.000000
11496,AMBICAAGAR-EQ,AMBICAAGAR,,-1.000000,1,,NSE,1.000000
15234,AMBIKCO-EQ,AMBIKCO,,-1.000000,1,,NSE,5.000000
1270,AMBUJACEM-EQ,AMBUJACEM,,-1.000000,1,,NSE,5.000000
14398,AMDIND-EQ,AMDIND,,-1.000000,1,,NSE,1.000000
5578,AMIORG-EQ,AMIORG,,-1.000000,1,,NSE,5.000000
19867,AMNPLST-EQ,AMNPLST,,-1.000000,1,,NSE,5.000000
